objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,doi,related_pathways
dhuni-dhuni-tap,,Dhūnī-tap – Wherever There is Fire There is The Name,Prema Goet,2026-02-23,"The moving-picture work “Dhūnī-tap - Wherever There is Fire There is The Name” was filmed in Allahabad and Mathura, India, between January 2025 and March 2026. The work explores aspects of the visual culture surrounding the materiality of the ascetic practice of dhūnī tap, from which it derives its title. Structured in two parts, the film first attends to the material and performative dimensions of the saṃkalpa ritual before turning to the practice of dhūnī tap as undertaken by members of the Rāmānandī community. The film was deliberately shot on a 1971 Beaulieu 4008 ZM II moving-picture camera using Kodak Ektachrome 100 dia-positive colour film stock. This technical and aesthetic choice positions the work in formal contrast to the 35mm black-and-white photographic material presented throughout the Dhun-Dhūnī: The Fires of the Name exhibition. The film’s chromatic progression –  moving from faded and underexposed imagery toward increasingly saturated colour –  may be read as a visual counterpart to the conceptual and affective concerns articulated within the exhibition’s “Dhun” section. The soundtrack consists of a composite arrangement of field recordings produced between 2015 and 2026. Bringing together five discrete sonic segments, the composition seeks to evoke aspects of the auditory environments associated with spaces inhabited by the Rāmānandī community. In this respect, the work attempts to approximate the immersive acoustic conditions characteristic of such settings. Three of the five sonic segments are made available as part of the exhibition and are accessible on this website as individual audio files. One segment –  the synth component –  constitutes a deliberate compositional intervention introduced by the artist and does not derive from documentary field-recorded material.",dhūni tap; tapasyā; Beaulieu 4008 ZMII; dhūnī,"Allahabad, Uttar Pradesh, India ",25.27,81.52,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,video,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-Dhuni-tap_v1.1.mp4,/assets/img/thumbnails/Dhuni-tap-02.png,/assets/img/thumbnails/Dhuni-tap-02b.png,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l0001,,"Jagadīśa Dāsa Mahātyāgī, showing the sūrya mudrā",Prema Goet,2016,"In this sequence of images, sādhu (holy man) Jagadīśa Dāsa Mahātyāgī of the Rāmānandī Sampradāya, a Vaishnava religious order, can be seen performing various mudrās during the dhūnī tap. Here, he demonstrates Sūrya-mudrā hand-gesture. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2015/2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",yoga; sādhus; rāmānandī; India; photography; vaishnavism; portrait; dhūnī; tapasya; sūrya mudrā; hand gesture; sun,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L0001.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l0001_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l0001_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1005705,,Standing in the Sun,Prema Goet,2016-08-09,"Gopal Dāsa Mahātyāgī standing just before entering the dhūnī. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2015/2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",dhūnī,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1005705.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1005705_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1005705_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1005758,,Blanket(ed),Prema Goet,2016,"Gopal Dāsa Mahātyāgī performing dhūnī-tap. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2015/2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",yoga; sādhus; rāmānandī; India; photography; dhūnī; khumba mela,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1005758.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1005758_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1005758_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1006104,,Smog,Prema Goet,2016,"A group of Rāmānandī ascetics performing dhūnī-tap. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",yoga; sādhus; rāmānandī; India; photography; dhūnī; khumba mela,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1006104.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1006104_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1006104_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1006232,,Seen the Sun -- Surya Mudrā,Prema Goet,2016,"In this sequence of images, sādhu (holy man) Jagadīśa Dāsa Mahātyāgī of the Rāmānandī Sampradāya, a Vaishnava religious order, can be seen performing various mudrās during the dhūnī tap. Here, he demonstrates Sūrya-mudrā hand-gesture. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2015/2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",yoga; sādhus; rāmānandī; India; photography; dhūnī,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1006232.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1006232_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1006232_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1006248,,Jagadīśa Dāsa Mahātyāgī Performing the Dhūnī-tap,Prema Goet,2016,"In this sequence of images, sādhu (holy man) Jagadīśa Dāsa Mahātyāgī of the Rāmānandī Sampradāya, a Vaishnava religious order, can be seen performing various mudrās during the dhūnī tap. This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2016, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",dhūnī tap; rāmānandī; rāma; dhūnī; khumba mela,"Ujjain, Madhya Pradesh, India",23.11,75.47,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1006248.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1006248_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1006248_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1007220,,śīrṣāsana ,Prema Goet,2019,"Rāmānandī holyman, Sri Ram Balak Das, displaying the śīrṣāsana – an inverted yogic posture while practicing dhūni-tap. This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2018/2019, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",dhūnī; rāmānandī; khumba mela,"Allahabad, Uttar Pradesh, India ",25.27,81.52,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1007220.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1007220_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1007220_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1007244,,Head Down,Prema Goet,2019,"Rāmānandī holyman, Sri Ram Balak Das, displaying an inverted lotus position while practicing dhūni-tap. This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2018/2019, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",dhūnī; rāmānandī; khumba mela,"Allahabad, Uttar Pradesh, India ",25.27,81.52,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1007244.jpg,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1007244_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1007244_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
dhuni-l1009548,,Chiṃtā,Prema Goet,2018,"A Ramandi ascetic holding a chimta while performing dhuni tap. This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2026. It was acquired by Task Force 3 of the MANTRAMS project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within the exhibition “Dhun / Dhūnī.The Fires of the Name,” presented during the Yoga Darśana Conference “Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation” in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibetan Studies at the University of Vienna in 2026.",dhūnī; rāmānandī; khumba mela,"Allahabad, Uttar Pradesh, India ",25.27,81.52,,,,,,,https://creativecommons.org/licenses/by-nc-nd/4.0/,image,/objects/MANTRAMS_TF3_GOET_RC6_DHUNI-L1009548.png,/objects/small/mantrams_tf3_goet_rc6_dhuni-l1009548_sm.jpg,/objects/thumbs/mantrams_tf3_goet_rc6_dhuni-l1009548_th.jpg,,,https://doi.org/10.57754/FDAT.jm0b4-e6x67,dhuni
